Categoria,Prato,Descricao,Preco
Entradas,Carpaccio de Wagyu,Lâminas de Wagyu com azeite de trufas brancas e alcaparras,125.00
Entradas,Burrata ao Pesto de Pistache,Burrata artesanal com pesto de pistache e tomates confitados,110.00
Entradas,Tartare de Atum Premium,Atum fresco picado com especiarias e base de abacate,98.00
Entradas,Vieiras ao Limone,Vieiras canadenses seladas com redução de limão siciliano,165.00
Entradas,Ostras Frescas da Ilha,Ostras frescas servidas com vinagrete de maçã verde (6 un),145.00
Entradas,Camarões à Provençal,Camarões médios salteados no alho e ervas finas,125.00
Entradas,Arancini de Cordeiro,Bolinhos de risoto recheados com cordeiro desfiado (4 un),88.00
Entradas,Tábua de Queijos Europeus,Seleção de Brie Roquefort e Gouda envelhecido,185.00
Entradas,Ceviche de Robalo,Robalo marinado no limão com cebola roxa e milho crocante,95.00
Entradas,Bruschetta de Parma,Pão artesanal com tomate cereja e presunto de parma,85.00
Entradas,Dadinho de Tapioca com Geléia,Dadinhos crocantes com geléia de pimenta defumada,72.00
Entradas,Crocante de Siri,Bolinho de siri puro com molho tártaro da casa,92.00
Entradas,Foie Gras Grelhado,Lâmina de foie gras com redução de vinho do porto e brioche,245.00
Entradas,Escargots à la Bourguignonne,Escargots na manteiga de ervas e alho (6 un),195.00
Entradas,Salada Caesar Premium,Folhas jovens com croutons de brioche e lascas de grana padano,82.00
Entradas,Mix de Cogumelos ao Vinho,Shimeji e shitake salteados no vinho branco e manteiga,98.00
Entradas,Carpaccio de Salmão,Lâminas de salmão com raspas de limão e pimenta rosa,105.00
Entradas,Pastel de Lagosta,Massa fina recheada com lagosta cremosa (3 un),125.00
Entradas,Creme de Aspargos,Creme aveludado de aspargos frescos com amêndoas,88.00
Entradas,Mini Hambúrguer de Wagyu,Três mini burgers com queijo gruyère e cebola caramelizada,115.00
Entradas,Ceviche de Salmão e Manga,Salmão em cubos com manga e leite de tigre de maracujá,95.00
Entradas,Mexilhões ao Vinho Branco,Mexilhões frescos cozidos com ervas e vinho,115.00
Entradas,Camembert Assado com Mel,Queijo camembert inteiro com mel e amêndoas torradas,110.00
Entradas,Carpaccio de Beterraba,Lâminas de beterraba defumada com queijo de cabra e nozes,78.00
Entradas,Polenta Frita com Gorgonzola,Palitos de polenta cremosa com molho de queijo azul,68.00
Entradas,Cesta de Pães Artesanais,Mix de pães de fermentação natural com manteiga trufada,55.00
Entradas,Lula à Dorê Premium,Anéis de lula empanados com farinha panko e limão siciliano,110.00
Entradas,Steak Tartare Clássico,Carne bovina picada na ponta da faca com gema de ovo,108.00
Entradas,Salada de Figo e Parma,Mix de folhas com figos frescos presunto de parma e redução,88.00
Entradas,Caldo de Mandioquinha com Camarão,Creme aveludado com pequenos camarões salteados,82.00
